timestamp,endpoint_type,email,success,status_code,response_time_ms,rejection_method,error_message
2026-02-22T21:03:26.739112,traditional,user0@gmail.com,FALSE,401,27,401 Unauthorized - Invalid Credentials,Invalid credentials
2026-02-22T21:03:26.737115,oauth,user0@gmail.com,FALSE,404,25,404 Not Found - Endpoint Not Accepting Credentials,
2026-02-22T21:03:26.739112,traditional,user1@yahoo.com,FALSE,401,27,401 Unauthorized - Invalid Credentials,Invalid credentials
2026-02-22T21:03:26.738111,oauth,user1@yahoo.com,FALSE,404,26,404 Not Found - Endpoint Not Accepting Credentials,
2026-02-22T21:03:26.739112,traditional,user2@outlook.com,FALSE,401,27,401 Unauthorized - Invalid Credentials,Invalid credentials
2026-02-22T21:03:26.738111,oauth,user2@outlook.com,FALSE,404,26,404 Not Found - Endpoint Not Accepting Credentials,
2026-02-22T21:03:26.739112,traditional,user3@hotmail.com,FALSE,401,27,401 Unauthorized - Invalid Credentials,Invalid credentials
2026-02-22T21:03:26.738111,oauth,user3@hotmail.com,FALSE,404,26,404 Not Found - Endpoint Not Accepting Credentials,
2026-02-22T21:03:26.740112,traditional,user4@example.com,FALSE,401,28,401 Unauthorized - Invalid Credentials,Invalid credentials
2026-02-22T21:03:26.739112,oauth,user4@example.com,FALSE,404,27,404 Not Found - Endpoint Not Accepting Credentials,
2026-02-22T21:03:26.743111,traditional,user5@gmail.com,FALSE,401,31,401 Unauthorized - Invalid Credentials,Invalid credentials
2026-02-22T21:03:26.741114,oauth,user5@gmail.com,FALSE,404,29,404 Not Found - Endpoint Not Accepting Credentials,
2026-02-22T21:03:26.743111,traditional,user6@yahoo.com,FALSE,401,31,401 Unauthorized - Invalid Credentials,Invalid credentials
2026-02-22T21:03:26.741114,oauth,user6@yahoo.com,FALSE,404,29,404 Not Found - Endpoint Not Accepting Credentials,
2026-02-22T21:03:26.744114,traditional,user7@outlook.com,FALSE,401,32,401 Unauthorized - Invalid Credentials,Invalid credentials
2026-02-22T21:03:26.743111,oauth,user7@outlook.com,FALSE,404,31,404 Not Found - Endpoint Not Accepting Credentials,
2026-02-22T21:03:26.744114,traditional,user8@hotmail.com,FALSE,401,32,401 Unauthorized - Invalid Credentials,Invalid credentials
2026-02-22T21:03:26.743111,oauth,user8@hotmail.com,FALSE,404,31,404 Not Found - Endpoint Not Accepting Credentials,
2026-02-22T21:03:26.744114,traditional,user9@example.com,FALSE,401,32,401 Unauthorized - Invalid Credentials,Invalid credentials
2026-02-22T21:03:26.744114,oauth,user9@example.com,FALSE,404,32,404 Not Found - Endpoint Not Accepting Credentials,
2026-02-22T21:03:26.746111,traditional,user10@gmail.com,FALSE,401,34,401 Unauthorized - Invalid Credentials,Invalid credentials
2026-02-22T21:03:26.745113,oauth,user10@gmail.com,FALSE,404,33,404 Not Found - Endpoint Not Accepting Credentials,
2026-02-22T21:03:26.747115,traditional,user11@yahoo.com,FALSE,401,35,401 Unauthorized - Invalid Credentials,Invalid credentials
2026-02-22T21:03:26.747115,oauth,user11@yahoo.com,FALSE,404,35,404 Not Found - Endpoint Not Accepting Credentials,
2026-02-22T21:03:26.748112,traditional,user12@outlook.com,FALSE,401,35,401 Unauthorized - Invalid Credentials,Invalid credentials
2026-02-22T21:03:26.747115,oauth,user12@outlook.com,FALSE,404,34,404 Not Found - Endpoint Not Accepting Credentials,
2026-02-22T21:03:26.748112,traditional,user13@hotmail.com,FALSE,401,35,401 Unauthorized - Invalid Credentials,Invalid credentials
2026-02-22T21:03:26.747115,oauth,user13@hotmail.com,FALSE,404,34,404 Not Found - Endpoint Not Accepting Credentials,
2026-02-22T21:03:26.748112,traditional,user14@example.com,FALSE,401,35,401 Unauthorized - Invalid Credentials,Invalid credentials
2026-02-22T21:03:26.747115,oauth,user14@example.com,FALSE,404,34,404 Not Found - Endpoint Not Accepting Credentials,
2026-02-22T21:03:26.749112,traditional,user15@gmail.com,FALSE,401,36,401 Unauthorized - Invalid Credentials,Invalid credentials
2026-02-22T21:03:26.748112,oauth,user15@gmail.com,FALSE,404,35,404 Not Found - Endpoint Not Accepting Credentials,
2026-02-22T21:03:26.751124,traditional,user16@yahoo.com,FALSE,401,38.01,401 Unauthorized - Invalid Credentials,Invalid credentials
2026-02-22T21:03:26.750112,oauth,user16@yahoo.com,FALSE,404,37,404 Not Found - Endpoint Not Accepting Credentials,
2026-02-22T21:03:26.752112,traditional,user17@outlook.com,FALSE,401,38.01,401 Unauthorized - Invalid Credentials,Invalid credentials
2026-02-22T21:03:26.750112,oauth,user17@outlook.com,FALSE,404,37,404 Not Found - Endpoint Not Accepting Credentials,
2026-02-22T21:03:26.753124,traditional,user18@hotmail.com,FALSE,401,40.01,401 Unauthorized - Invalid Credentials,Invalid credentials
2026-02-22T21:03:26.750112,oauth,user18@hotmail.com,FALSE,404,37,404 Not Found - Endpoint Not Accepting Credentials,
2026-02-22T21:03:26.754112,traditional,user19@example.com,FALSE,401,41,401 Unauthorized - Invalid Credentials,Invalid credentials
2026-02-22T21:03:26.753124,oauth,user19@example.com,FALSE,404,40.01,404 Not Found - Endpoint Not Accepting Credentials,
2026-02-22T21:03:26.754112,traditional,user20@gmail.com,FALSE,401,41,401 Unauthorized - Invalid Credentials,Invalid credentials
2026-02-22T21:03:26.753124,oauth,user20@gmail.com,FALSE,404,40.01,404 Not Found - Endpoint Not Accepting Credentials,
2026-02-22T21:03:26.755111,traditional,user21@yahoo.com,FALSE,401,42,401 Unauthorized - Invalid Credentials,Invalid credentials
2026-02-22T21:03:26.755111,oauth,user21@yahoo.com,FALSE,404,42,404 Not Found - Endpoint Not Accepting Credentials,
2026-02-22T21:03:26.756112,traditional,user22@outlook.com,FALSE,401,43,401 Unauthorized - Invalid Credentials,Invalid credentials
2026-02-22T21:03:26.755111,oauth,user22@outlook.com,FALSE,404,42,404 Not Found - Endpoint Not Accepting Credentials,
2026-02-22T21:03:26.757112,traditional,user23@hotmail.com,FALSE,401,44,401 Unauthorized - Invalid Credentials,Invalid credentials
2026-02-22T21:03:26.756112,oauth,user23@hotmail.com,FALSE,404,43,404 Not Found - Endpoint Not Accepting Credentials,
2026-02-22T21:03:26.757112,traditional,user24@example.com,FALSE,401,44,401 Unauthorized - Invalid Credentials,Invalid credentials
2026-02-22T21:03:26.756112,oauth,user24@example.com,FALSE,404,43,404 Not Found - Endpoint Not Accepting Credentials,
